KEY,en,notes,sp,fr,de,it,pt-br,ru,ko,ja,zh
EVENT_CATSINHEAT_REW8,"The cats seemed harmless but when {catname} randomly attacks, they turn vicious and tear {catname} to shreds!
",,"Los gatos parecían inofensivos, pero, cuando {catname} los ataca sin motivo, se vuelven violentos ¡y hacen trizas a {catname}!
","Ces chats avaient l'air sans défense, mais quand de nulle part {catname} attaque, ils se révèlent finalement être vicieux et réduisent {catname} en lambeaux&nbsp;!","Die Katzen wirken harmlos, doch als {catname} sie angreift, verfallen sie in Rage und zerreißen {catname} förmlich in der Luft!
","I gatti sembrano inoffensivi, ma non appena vengono attaccati, diventano aggressivi e fanno a pezzi {catname}!","Os gatos pareciam inofensivos, mas, quando {catname} ataca aleatoriamente, eles se enfurecem e destroem {catname} em pedaços!",,,,"猫咪们看起来人畜无害，
但当 {catname} 胡乱攻击时，它们变得凶残无比，
将 {catname} 撕成了碎片！
"
EVENT_CATSINHEAT_REW8_M,,,,,,,,,,,
EVENT_CATSINHEAT_REW8_F,,,,,,,,,,,
EVENT_CATSINHEAT_REW8_N,,,,,,,,,,,
EVENT_CATSINHEAT_REW9,"{catname} tries to take the cats by surprise but is quickly outnumbered and the cats mercilessly subdue {catname}!
",,"{catname} intenta pillar por sorpresa a los gatos, pero ¡estos le paran los pies de forma rápida e implacable!
","{catname} essaie de prendre les chats par surprise mais se fait rapidement submerger. Sans aucune merci, les matous répriment {catname}&nbsp;!","{catname} versucht die Katzen zu überraschen, doch sie sind in Überzahl und überwältigen {catname}!
","{catname} cerca di prendere di sorpresa i gatti, ma si ritrova subito in inferiorità numerica. I gatti hanno la meglio su {catname} senza pietà!","{catname} tenta pegar os gatos de surpresa, mas rapidamente os gatos chegam em maior número e lhe subjugam impiedosamente!",,,,"{catname} 试图偷袭猫咪们，但很快寡不敌众，
猫咪们无情地制服了 {catname}！
"
EVENT_CATSINHEAT_REW9_M,,,,,,,,,,,
EVENT_CATSINHEAT_REW9_F,,,,,,,,,,,
EVENT_CATSINHEAT_REW9_N,,,,,,,,,,,
EVENT_CATSINHEAT_ALT_REW9,"The party realizes in horror that {catname} has just slain {his} own grandfather!

{catname} feels {his} existence fading from reality...
",,"Horrorizado, ¡el grupo se da cuenta de que {catname} acaba de matar a su propio abuelo!

{catname} nota como su existencia se desvanece de la realidad...
","Le groupe, horrifié, se rend compte que quelqu'un vient de tuer son propre grand-père. C'est {catname}&nbsp;!

{catname} a l'impression que son existence même s'efface de la réalité...","Die Gruppe erkennt schockiert, dass {catname} gerade {his}en eigenen Großvater getötet hat!

{catname} spürt, wie {he} langsam aber sicher aus dieser Realität verschwindet&nbsp;…
","Il gruppo realizza con orrore che {catname} ha appena trucidato suo nonno!

{catname} sente che la sua esistenza sta svanendo dalla realtà...","O grupo percebe, horrorizado, que {catname} acaba de assassinar o próprio avô!

{catname} sente sua existência se desvanecendo da realidade...",,,,"队伍惊恐地意识到 {catname} 刚刚杀死了{he}自己的祖父！

{catname} 感觉{he}的存在正从现实中消逝……
"
EVENT_CATSINHEAT_ALT_REW9_M,,,,,,,,,,,
EVENT_CATSINHEAT_ALT_REW9_F,,,,,,,,,,,
EVENT_CATSINHEAT_ALT_REW9_N,,,,,,,,,,,
EVENT_WATCHINGEYEBALLS_NAME,Watching Eyeballs,updated ✔️,Ojos observadores,Yeux observateurs,Augen in der Dunkelheit,Occhi Vigili,Olhos Observadores,,,,注视的眼球
EVENT_WATCHINGEYEBALLS_QUES,{catname} stumbles upon a dark hole. Numerous eyes peer out from the darkness.,,{catname} se topa con un agujero oscuro. Varios ojos le dirigen la mirada desde la penumbra.,{catname} tombe par hasard sur un trou sombre. De nombreux yeux observent le groupe depuis l'obscurité.,{catname} findet ein dunkles Loch. Etliche Augen starren {catname} aus der Dunkelheit entgegen.,{catname} si imbatte in un buco buio. Una moltitudine di occhi osserva dall'oscurità.,{catname} se depara com um buraco escuro. Numerosos olhos espreitam da escuridão.,,,,"{catname} 无意中发现了一个黑洞。
无数双眼睛从黑暗中窥视着外面。
"
EVENT_WATCHINGEYEBALLS_QUES_M,,,,,,,,,,,
EVENT_WATCHINGEYEBALLS_QUES_F,,,,,,,,,,,
EVENT_WATCHINGEYEBALLS_QUES_N,,,,,,,,,,,
EVENT_WATCHINGEYEBALLS_REW1,{catname} carefully sneaks by the wall and nothing appears to happen.,,"Con cuidado, {catname} pasa sigilosamente junto a la pared y no le pasa nada.",{catname} se faufile en toute discrétion du côté du mur et il ne semble rien se produire.,{catname} schleicht sich vorsichtig an dem Loch vorbei. Alles scheint ruhig.,{catname} procede con cautela lungo la parete. Sembra non accadere nulla.,{catname} passa sorrateiramente pela parede e nada parece acontecer.,,,,"{catname} 小心翼翼地贴着墙溜过去，
似乎什么也没发生。"
EVENT_WATCHINGEYEBALLS_REW1_M,,,,,,,,,,,
EVENT_WATCHINGEYEBALLS_REW1_F,,,,,,,,,,,
EVENT_WATCHINGEYEBALLS_REW1_N,,,,,,,,,,,
EVENT_WATCHINGEYEBALLS_REW2,"{catname} sneaks by the spooky looking crack, leading the party around and into a position to ambush!",,{catname} pasa a hurtadillas junto a la escalofriante abertura ¡y lleva al grupo hasta una posición desde donde atacar por sorpresa!,"{catname} approche discrètement de la fissure lugubre, menant le groupe à se positionner autour prêt à tendre une embuscade&nbsp;!",{catname} schleicht sich an dem gruseligen Loch vorbei und führt die Gruppe zu einer Position für einen Hinterhalt!,"{catname} sgattaiola oltre la crepa dall'aspetto inquietante, guidando il gruppo nella posizione ideale per tendere un'imboscata!","{catname} se esgueira pela fenda de aparência sinistra, guiando o grupo até uma posição vantajosa para uma emboscada!",,,,"{catname} 溜过那条看起来很诡异的裂缝，
带领队伍绕过去，进入了伏击位置！
"
EVENT_WATCHINGEYEBALLS_REW2_M,,,,,,,,,,,
EVENT_WATCHINGEYEBALLS_REW2_F,,,,,,,,,,,
EVENT_WATCHINGEYEBALLS_REW2_N,,,,,,,,,,,
EVENT_WATCHINGEYEBALLS_REW3,"The eyes glare directly at {catname} as {he} attempts to sneak by...

{catname} bolts into a sprint in order to get away as quickly as possible!",,"Los ojos miran fijamente a {catname} mientras intenta pasar a hurtadillas...

¡{catname} echa a correr para poder alejarse lo antes posible!","Les yeux fixent {catname} pendant qu'{he} tente de passer discrètement à côté...

{catname} se met soudainement à sprinter afin de s'éloigner le plus vite possible&nbsp;!","Die Augen starren {catname} an, während {he} versucht, vorbeizuschleichen&nbsp;…

Plötzlich rennt {catname} los, um so schnell wie möglich zu entkommen!","Gli occhi fissano con attenzione {catname} mentre cerca di sgattaiolare via...

{catname} si lancia in volata per allontanarsi il più velocemente possibile!","Os olhos fitam diretamente {catname}, que tenta passar sorrateiramente...

{catname} dispara em uma corrida para escapar o mais rápido possível!",,,,{catname} 为了尽快逃离，拔腿就跑！
EVENT_WATCHINGEYEBALLS_REW3_M,,,,,,,,,,,
EVENT_WATCHINGEYEBALLS_REW3_F,,,,,,,,,,,
EVENT_WATCHINGEYEBALLS_REW3_N,"The eyes glare directly at {catname} as they attempt to sneak by...

{catname} bolts into a sprint in order to get away as quickly as possible!",,"Los ojos miran fijamente a {catname} mientras intenta pasar a hurtadillas...

¡{catname} echa a correr para poder alejarse lo antes posible!",,"Die Augen starren {catname} beim Versuch vorbeizuschleichen an&nbsp;…

Plötzlich rennt {catname} los, um so schnell wie möglich zu entkommen!",,,,,,{catname} 为了尽快逃离，拔腿就跑！
EVENT_WATCHINGEYEBALLS_REW4,"{catname} approaches the crack in the wall, trying to discern what creature's eyes are staring at {him}...

The unnerving gaze of the eyeballs terrifies {catname}, and the cats turn tail and run for their lives, right into an ambush!",,"{catname} se acerca a la abertura de la pared para intentar ver qué clase de criatura está observando al grupo...

La inquietante mirada de los ojos aterra a {catname}, y los gatos huyen con el rabo entre las patas ¡y los atacan por sorpresa!","{catname} s'approche de la fissure dans le mur et essaie de discerner à quelle créature appartiennent ces yeux qui semblent scruter ses mouvements...

Le regard malaisant des globes oculaires terrifie {catname}. Le groupe prend ses jambes à son cou, mais tombe directement dans une embuscade&nbsp;!","{catname} nähert sich dem Loch in der Wand und versucht herauszufinden, zu was für einem Wesen die Augen gehören&nbsp;…

{catname} bekommt zu viel Angst und die Katzen rennen Hals über Kopf weg&nbsp;– mitten in einen Hinterhalt!",,"{catname} se aproxima da fenda na parede, tentando discernir à qual criatura os olhos que lhe encaram pertencem...

O olhar perturbador dos globos oculares aterroriza {catname} e os gatos dão meia-volta para salvar suas vidas, mas caem direto em uma emboscada!",,,,"眼球那令人不安的注视吓坏了 {catname}，
猫咪们夹着尾巴逃命，
正好撞进了伏击圈！"
EVENT_WATCHINGEYEBALLS_REW4_M,,,,,,"{catname} si avvicina alla crepa sul muro, cercando di capire a che creatura appartengono gli occhi che lo osservano...

Lo sguardo snervante dei bulbi oculari terrorizza {catname}, e i gatti se la danno a zampe levate, finendo dritti in un'imboscata!",,,,,
EVENT_WATCHINGEYEBALLS_REW4_F,,,,,,"{catname} si avvicina alla crepa sul muro, cercando di capire a che creatura appartengono gli occhi che la osservano...

Lo sguardo snervante dei bulbi oculari terrorizza {catname}, e i gatti se la danno a zampe levate, finendo dritti in un'imboscata!",,,,,
EVENT_WATCHINGEYEBALLS_REW4_N,,,,,,"{catname} si avvicina alla crepa sul muro, cercando di capire a che creatura appartengono quegli occhi vigili...

Lo sguardo snervante dei bulbi oculari terrorizza {catname}, e i gatti se la danno a zampe levate, finendo dritti in un'imboscata!",,,,,
EVENT_WATCHINGEYEBALLS_REW5,"After closer examination, {catname} discovers it was just a trick of the light...

The eyes were coins!
",,"Tras observar los ojos con detenimiento, {catname} descubre que se trataba de una ilusión óptica.

¡En realidad eran monedas!
","Après un examen plus approfondi, {catname} se rend compte qu'il ne s'agissait en fait que d'une illusion d'optique...

Les yeux étaient en fait des pièces&nbsp;!","Bei genauerem Hinsehen stellt {catname} fest, dass es sich nur um eine optische Täuschung gehandelt hat&nbsp;…

Die Augen sind in Wirklichkeit Münzen!
","Dopo un'attenta analisi, {catname} scopre che si trattava solo di un gioco di luce...

Gli occhi erano monete!","Após uma análise mais detalhada, {catname} descobre que tudo não passou de um golpe de vista...

Os olhos eram moedas!",,,,"经过仔细检查，
{catname} 发现那只是光线的把戏……

那些眼睛其实是硬币！
"
EVENT_WATCHINGEYEBALLS_REW5_M,,,,,,,,,,,
EVENT_WATCHINGEYEBALLS_REW5_F,,,,,,,,,,,
EVENT_WATCHINGEYEBALLS_REW5_N,,,,,,,,,,,
EVENT_WATCHINGEYEBALLS_REW6,"{catname} discovers the scary looking eyes were just large coins, glinting in the dim light!
",,"¡{catname} descubre que los aterradores ojos no eran más que monedas grandes que relucían en la tenue luz!
",{catname} découvre que les yeux effrayants n'étaient finalement que de grosses pièces qui luisaient dans la pénombre&nbsp;!,"{catname} stellt fest, dass die gruseligen Augen eigentlich nur große Münzen waren, die im schwachen Licht geglänzt haben!
","{catname} scopre che gli occhi spaventosi erano solo grosse monete, che luccicavano nella luce soffusa!","{catname} descobre que os olhos de aparência assustadora eram apenas moedas grandes, brilhando na penumbra!",,,,"{catname} 发现那些看起来很吓人的眼睛只是巨大的硬币，
在昏暗的光线下闪闪发光！
"
EVENT_WATCHINGEYEBALLS_REW6_M,,,,,,,,,,,
EVENT_WATCHINGEYEBALLS_REW6_F,,,,,,,,,,,
EVENT_WATCHINGEYEBALLS_REW6_N,,,,,,,,,,,
EVENT_WATCHINGEYEBALLS_REW7,"The cats look directly at the eyes, no one wanting to move first. Their eyes begin to water in pain as they resist the urge to blink.

No one says anything but together the cats all turn and run in terror!",,"Los gatos miran los ojos fijamente; nadie se atreve a hacer el primer movimiento. Aguantan el impulso de parpadear hasta que tienen los ojos llorosos y doloridos.

Nadie dice nada, pero ¡todos los gatos se dan la vuelta y corren despavoridos!","Le groupe fixe les yeux, personne ne souhaitant être le premier à bouger. Leurs propres yeux commencent à leur faire mal à force de résister à l'envie de cligner.

Sans que personne ne dise un mot, le groupe tout entier se retourne et s'enfuit en courant, terrifié&nbsp;!","Die Katzen starren die Augen an und niemand will sich zuerst bewegen. Tränen sammeln sich in ihren Augen, da sie es nicht wagen zu blinzeln.

Niemand spricht ein Wort, doch wie durch einen stummen Befehl drehen sich die Katzen auf einmal um und rennen verängstigt davon!","I gatti fissano gli occhi, nessuno vuole fare la prima mossa. I loro occhi iniziano a riempirsi di lacrime per il dolore, mentre cercano di resistere all'istinto di sbatterli.

Nessuno dice una parola, ma i gatti si voltano contemporaneamente e scappano in preda al terrore!","Os gatos olham diretamente para os olhos, nenhum deles querendo se mover primeiro. Seus olhos começam a lacrimejar de dor enquanto resistem à vontade de piscar.

Ninguém diz nada, mas, juntos, os gatos se viram e fogem aterrorizados!",,,,"猫咪们直视着那些眼睛，
谁也不愿先动。它们强忍着不眨眼，
眼睛开始因疼痛而流泪。

虽然谁也没说话，
但猫咪们不约而同地转身，
惊恐地逃跑了！"
EVENT_WATCHINGEYEBALLS_REW8,"{catname} moves {his} face close to the hole and peers inside...

{catname} howls in pain as something sharp from within the hole lashes out and stabs {his} eye!
",,"{catname} acerca la cara al agujero y atisba su interior...

¡Grita de dolor cuando algo afilado sale del agujero y se le clava en el ojo de repente!
","{catname} rapproche son visage de la faille et jette un regard à l'intérieur...

{He} hurle de douleur. Quelque chose de pointu dedans lui a piqué l'œil en réponse&nbsp;!","{catname} nähert sich dem Loch und blickt hinein&nbsp;…

{catname} heult schmerzerfüllt auf, als etwas Spitzes aus dem Loch hervorschnellt und in {his} Auge sticht!
","{catname} porta il viso vicino al buco e sbircia all'interno...

{catname} ulula di dolore quando qualcosa di affilato fuoriesce dal buco e si infilza nel suo occhio!","{catname} aproxima o rosto do buraco e olha para dentro...

{catname} uiva de dor quando algo afiado de dentro do buraco atinge seu olho!",,,,"{catname} 痛苦地嚎叫，
因为洞里伸出了某种尖锐的东西刺伤了眼睛！

"
EVENT_WATCHINGEYEBALLS_REW8_M,,,,,,,,,,,
EVENT_WATCHINGEYEBALLS_REW8_F,,,,,,,,,,,
EVENT_WATCHINGEYEBALLS_REW8_N,"{catname} moves their face close to the hole and peers inside...

{catname} howls in pain as something sharp from within the hole lashes out and stabs their eye!",,"{catname} acerca la cara al agujero y atisba su interior...

¡Grita de dolor cuando algo afilado sale del agujero y se le clava en el ojo de repente!",,"{catname} nähert sich dem Loch und blickt hinein&nbsp;…

{catname} heult schmerzerfüllt auf, als etwas Spitzes aus dem Loch hervorschnellt und ins Auge sticht!
",,,,,,"{catname} 痛苦地嚎叫，
因为洞里伸出了某种尖锐的东西刺伤了眼睛！
"
EVENT_WATCHINGEYEBALLS_REW9,"{catname} smashes the eyes into concave lumps of flesh!
",,"¡{catname} golpea los ojos hasta convertirlos en masas de carne cóncavas!
",{catname} transforme ces yeux en des morceaux de bouillie concaves&nbsp;!,"{catname} schlägt auf die Augen ein, bis nichts als ein Fleischhaufen übrig ist!
",{catname} riduce gli occhi a masse scavate di carne!,"{catname} esmaga os olhos, transformando-os em pedaços côncavos de carne!",,,,"{catname} 把那些眼睛砸成了凹陷的肉块！
"
EVENT_WATCHINGEYEBALLS_REW9_M,,,,,,,,,,,
EVENT_WATCHINGEYEBALLS_REW9_F,,,,,,,,,,,
EVENT_WATCHINGEYEBALLS_REW9_N,,,,,,,,,,,
EVENT_WATCHINGEYEBALLS_REW10,"{catname} bats at the eyes with lightning fast strikes, dispatching them with ease!
",,"{catname} golpea los ojos con golpes rapidísimos ¡y acaba con ellos fácilmente!
","{catname} frappe les yeux à la vitesse de l'éclair, ne faisant qu'une bouchée d'eux&nbsp;!","{catname} schlägt mit blitzschnellen Pfoten auf die Augen ein und erledigt sie im Handumdrehen!
","{catname} si avventa sugli occhi con colpi rapidissimi, eliminandoli con facilità!","{catname} ataca os olhos com golpes tão rápidos quanto raios, eliminando-os com facilidade!",,,,"{catname} 以闪电般的速度拍打那些眼睛，
轻松解决了它们！
"
EVENT_WATCHINGEYEBALLS_REW10_M,,,,,,,,,,,
EVENT_WATCHINGEYEBALLS_REW10_F,,,,,,,,,,,
EVENT_WATCHINGEYEBALLS_REW10_N,,,,,,,,,,,
EVENT_WATCHINGEYEBALLS_REW11,"{catname} moves closely to strike the eyes, but they suddenly flash with a blinding brightness!",,"{catname} se acerca a los ojos para golpearlos, pero, de repente, ¡emiten un brillo cegador!","{catname} se rapproche pour attaquer les yeux, mais ils émettent soudainement une vive lumière aveuglante&nbsp;!","{catname} geht auf die Augen zu, um sie zu beseitigen, doch plötzlich leuchten sie grell auf!","{catname} si avvicina per colpire gli occhi, che però si accendono improvvisamente con una luce accecante!","{catname} se aproxima para atacar os olhos, mas eles brilham repentinamente com uma intensidade ofuscante!",,,,"{catname} 靠近想要攻击那些眼睛，
但它们突然闪烁出刺眼的光芒！"
EVENT_WATCHINGEYEBALLS_REW11_M,,,,,,,,,,,
EVENT_WATCHINGEYEBALLS_REW11_F,,,,,,,,,,,
EVENT_WATCHINGEYEBALLS_REW11_N,,,,,,,,,,,
EVENT_WATCHINGEYEBALLS_REW12,"{catname} reaches into the dark hole with {his} arm to swat at the eyes, but {he} pokes {himself} in the face on the sharp edges of the hole instead!
",,"{catname} mete la pata en el oscuro agujero para golpear los ojos, pero ¡acaba arañándose la cara con los afilados bordes de la abertura!
","{catname} tend la patte dans l'obscurité du trou pour frapper les yeux, mais au lieu de ça, {he} se blesse le visage sur les rebords saillants de trou&nbsp;!","{catname} streckt {his}e Hand in das Loch, um die Augen abzutasten, doch stattdessen schneidet {he} sich am scharfen Rand der Vertiefung!
","{catname} si allunga nel buco oscuro per colpire gli occhi, ma invece impatta col viso sui bordi seghettati del buco!","{catname} estende o braço para dentro do buraco escuro para tentar acertar os olhos, mas acaba ferindo o rosto nas bordas afiadas!",,,,"{catname} 把手臂伸进黑洞想拍打那些眼睛，
结果却被洞口锋利的边缘戳到了脸！

"
EVENT_WATCHINGEYEBALLS_REW12_M,,,,,,,,,,,
EVENT_WATCHINGEYEBALLS_REW12_F,,,,,,,,,,,
EVENT_WATCHINGEYEBALLS_REW12_N,"{catname} reaches into the dark hole with their arm to swat at the eyes, but they poke themselves in the face on the sharp edges of the hole instead!
",,"{catname} mete la pata en el oscuro agujero para golpear los ojos, pero ¡acaba arañándose la cara con los afilados bordes de la abertura!
",,"{catname} streckt die Hand in das Loch, um die Augen abzutasten, doch stattdessen schneidet {catname} sich am scharfen Rand der Vertiefung!
",,,,,,"{catname} 把手臂伸进黑洞想拍打那些眼睛，
结果却被洞口锋利的边缘戳到了脸！

"
EVENT_SPIDERWEBS_NAME,Spider Webs,updated ✔️,Telarañas,Toiles d'araignée,Spinnenweben,Tele di Ragno,Teias de Aranha,,,,蜘蛛网
EVENT_SPIDERWEBS_QUES,"Dense cobwebs line the walls and ceiling, blocking {catname}'s way forward.",,"Una densa maraña de telarañas cubre las paredes y el techo, e impide que {catname} avance.","D'épaisses toiles d'araignée recouvrent les murs et le plafond, empêchant {catname} de progresser davantage.",Dicke Spinnenweben bedecken die Wände und die Decke. Der Weg für {catname} ist versperrt.,"Dense ragnatele rivestono le pareti e il soffitto, sbarrando la strada a {catname}.","Densas teias de aranha revestem as paredes e o teto, bloqueando o caminho de {catname}.",,,,"茂密的蜘蛛网布满了墙壁和天花板，
挡住了 {catname} 的前路。"
EVENT_SPIDERWEBS_QUES_M,,,,,,,,,,,
EVENT_SPIDERWEBS_QUES_F,,,,,,,,,,,
EVENT_SPIDERWEBS_QUES_N,,,,,,,,,,,
EVENT_SPIDERWEBS_REW1,{catname} finds a small gap amidst the webs and wriggles {his} way carefully through the sticky maze!,,"{catname} encuentra un pequeño hueco entre las telarañas y, con cuidado, ¡consigue escabullirse del pegajoso laberinto!",{catname} trouve une petite ouverture à travers les toiles et arrive à sortir de ce dédale adhésif en se tortillant méticuleusement&nbsp;!,{catname} findet eine kleine Lücke und zwängt sich vorsichtig durch das klebrige Labyrinth!,"{catname} trova un piccolo passaggio tra le ragnatele, e si divincola con cautela attraverso il labirinto appiccoso!",{catname} encontra uma pequena abertura entre as teias e se esgueira cuidadosamente pelo labirinto pegajoso!,,,,"{catname} 在蛛网中发现了一个小缝隙，
小心翼翼地扭动身体穿过了这个粘稠的迷宫！
"
EVENT_SPIDERWEBS_REW1_M,,,,,,,,,,,
EVENT_SPIDERWEBS_REW1_F,,,,,,,,,,,
EVENT_SPIDERWEBS_REW1_N,,,,,,,,,,,
EVENT_SPIDERWEBS_REW2,{catname} attempts to sneak between the webs but gets tangled!,,"{catname} intenta pasar por entre las telarañas, pero ¡termina enredándose!","{catname} tente de passer en toute discrétion à travers les toiles, mais {he} s'emmêle complètement dedans&nbsp;!","{catname} versucht sich durch das Spinnennetz zu schleichen, verfängt sich aber!","{catname} cerca di sgattaiolare tra le ragnatele, ma si impiglia!","{catname} tenta se esgueirar por entre as teias, mas acaba se prendendo!",,,,"{catname} 试图在蛛网之间穿行，但被缠住了！
"
EVENT_SPIDERWEBS_REW2_M,,,,,,,,,,,
EVENT_SPIDERWEBS_REW2_F,,,,,,,,,,,
EVENT_SPIDERWEBS_REW2_N,,,,,,,,,,,
EVENT_SPIDERWEBS_REW3,"{catname} tries to push through the dense canopy but is caught up in the webs and held fast...

From within the sticky maze, {catname} sees a dark shadow moving quickly through the webs toward {him}!",,"{catname} intenta atravesar el espeso dosel, pero se enreda en las telarañas y no puede moverse...

Desde el interior del pegajoso laberinto, ¡vislumbra una sombra oscura que se mueve con presteza a través de las telarañas hasta su posición!","{catname} essaie de forcer le passage de cette dense canopée, mais {he} se fait prendre au piège...

Au cœur du labyrinthe collant, {catname} distingue une sombre silhouette se rapprochant rapidement vers {him} à travers les toiles&nbsp;!","{catname} versucht sich durch das dichte Netz zu arbeiten, doch die Spinnenweben sind zu klebrig&nbsp;…

Plötzlich sieht {catname} einen bedrohlichen Schatten, der sich über das Netz auf {him} zubewegt!","{catname} cerca di spingere la densa tela, ma si impiglia malamente nelle ragnatele...

Dall'interno del labirinto appiccicoso, {catname} scorge un'ombra oscura che si muove rapidamente tra le ragnatele, avvicinandosi!","{catname} tenta atravessar a densa vegetação, mas se prende nas teias e não consegue se mover...

De dentro do labirinto pegajoso, {catname} vê uma sombra escura se movendo rapidamente pelas teias em sua direção!",,,,"{catname} 试图从密集的网幕中挤过去，
但被蛛网缠住动弹不得……

在粘稠的迷宫深处，
{catname} 看到一个黑影正穿过蛛网迅速向{him}逼近！
"
EVENT_SPIDERWEBS_REW3_M,,,,,,,,,,,
EVENT_SPIDERWEBS_REW3_F,,,,,,,,,,,
EVENT_SPIDERWEBS_REW3_N,,,,,,,,,,,
EVENT_SPIDERWEBS_REW4,{catname} successfully claws through the cobwebs and continues onward.,,{catname} logra romper las telarañas con las zarpas y sigue adelante.,{catname} se fraye un chemin parmi les toiles à l'aide de ses griffes et continue sa route.,{catname} arbeitet sich erfolgreich durch die Spinnenweben und geht weiter.,"{catname} lacera con successo le ragnatele, e prosegue.",{catname} consegue abrir caminho através das teias de aranha e continua em frente.,,,,{catname} 成功抓破蜘蛛网，继续前进。
EVENT_SPIDERWEBS_REW4_M,,,,,,,,,,,
EVENT_SPIDERWEBS_REW4_F,,,,,,,,,,,
EVENT_SPIDERWEBS_REW4_N,,,,,,,,,,,
EVENT_SPIDERWEBS_REW5,"Dismantling the cobwebs as {he} goes, {catname} finds a flea trapped in the webs and rescues it!",,"Mientras avanza rompiendo las telarañas, ¡{catname} encuentra una pulga atrapada y la libera!","Détruisant les toiles sur son chemin, {catname} trouve une puce prise au piège dans les toiles et la sauve&nbsp;!","{catname} zerreißt die Spinnenweben geduldig und findet einen Floh, der sich ebenfalls verfangen hat. {He} rettet ihn!","Mentre procede smantellando le ragnatele, {catname} trova una pulce intrappolata e la libera!","Desfazendo as teias de aranha enquanto caminha, {catname} encontra uma pulga presa nas teias e a resgata!",,,,"{catname} 一边清理蜘蛛网一边前进，
发现一只被困在网里的跳蚤并救了它！
"
EVENT_SPIDERWEBS_REW5_M,,,,,,,,,,,
EVENT_SPIDERWEBS_REW5_F,,,,,,,,,,,
EVENT_SPIDERWEBS_REW5_N,"Dismantling the cobwebs as they go, {catname} finds a flea trapped in the webs and rescues it!",,"Mientras avanza rompiendo las telarañas, ¡{catname} encuentra una pulga atrapada y la libera!",,"{catname} zerreißt die Spinnenweben geduldig, findet einen Floh, der sich ebenfalls verfangen hat und rettet ihn!",,,,,,"{catname} 一边清理蜘蛛网一边前进，
发现一只被困在网里的跳蚤并救了它！
"
EVENT_SPIDERWEBS_REW6,"{catname} and the cats try to push through, but get tangled in the cobwebs!",,"{catname} y los gatos tratan de seguir adelante, pero ¡se quedan enredados en las telarañas!",{catname} et son groupe essaie de continuer tant bien que mal à avancer mais se retrouvent pris au piège dans les toiles&nbsp;!,"{catname} und die anderen Katzen versuchen sich durch die Spinnenweben zu arbeiten, verfangen sich jedoch!","{catname} e i gatti cercano di aprirsi la strada, ma finiscono intrappolati nelle ragnatele!","{catname} e os gatos tentam passar, mas se prendem nas teias de aranha!",,,,"{catname} 和猫咪们试图强行通过，
但被蜘蛛网缠住了！"
EVENT_SPIDERWEBS_REW6_M,,,,,,,,,,,
EVENT_SPIDERWEBS_REW6_F,,,,,,,,,,,
EVENT_SPIDERWEBS_REW6_N,,,,,,,,,,,
EVENT_SPIDERWEBS_REW7,"While biting through a particularly messy cobweb, {catname} feels a sharp bite on {his} face!

{catname} howls as {his} flesh mutates!
",,"Mientras se abre paso a mordiscos por una telaraña especialmente enrevesada, {catname} nota una picadura en la cara...

¡Chilla mientras su cuerpo muta!
","En déchirant une toile particulièrement coriace avec ses crocs, {catname} subit une douloureuse morsure au visage&nbsp;!

{catname} hurle alors qu'une mutation s'empare de sa chair&nbsp;!","Nachdem {he} sich durch einen besonders dichten Abschnitt des Netzes gearbeitet hat, spürt {catname} plötzlich, wie etwas in {his} Gesicht beißt!

{catname} heult auf und mutiert!
","Mentre morde una ragnatela particolarmente aggrovigliata, {catname} avverte un morso pungente sul viso!

{catname} ulula, mentre la sua carne muta!","Enquanto mordia uma teia de aranha particularmente emaranhada, {catname} sente uma mordida aguda no rosto!

{catname} uiva enquanto sua carne se transforma!",,,,"在咬断一张特别乱的蜘蛛网时，
{catname} 感觉脸上传来一阵剧痛！

{catname} 随着肉体发生突变而嚎叫！
"
EVENT_SPIDERWEBS_REW7_M,,,,,,,,,,,
EVENT_SPIDERWEBS_REW7_F,,,,,,,,,,,
EVENT_SPIDERWEBS_REW7_N,,,,,,,,,,,
EVENT_STRANGEMIRROR_NAME,Strange Mirror,updated ✔️,Espejo extraño,Miroir étrange,Merkwürdiger Spiegel,Strano Specchio,Espelho Estranho,,,,奇怪的镜子
EVENT_STRANGEMIRROR_QUES,"{catname} comes upon a strange mirror...

Although {he} can see {his} reflection, {catname}'s movements appear oddly delayed and distorted.",,"{catname} se encuentra un espejo de aspecto extraño...

Aunque puede ver su reflejo, sus movimientos se ven ralentizados y distorsionados.","{catname} découvre un étrange miroir...

Bien qu'{he} puisse y voir son reflet, ses mouvements semblent bizarrement décalés et déformés.","{catname} findet einen merkwürdigen Spiegel&nbsp;…

{He} kann zwar {his} Spiegelbild sehen, aber die Bewegungen von {catname} sind seltsam verzögert und verzerrt.","{catname} si imbatte in uno strano specchio...

Nonostante riesca a scorgervi il suo riflesso, i movimenti di {catname} appaiono stranamente in ritardo e distorti.","{catname} se depara com um espelho estranho...

Embora consiga ver seu reflexo, seus movimentos parecem estranhamente atrasados ​​e distorcidos.",,,,"{catname} 遇到了一面奇怪的镜子……

虽然能看到倒影，
但 {catname} 的动作显得奇怪地迟缓和扭曲。
"
EVENT_STRANGEMIRROR_QUES_M,,,,,,,,,,,
EVENT_STRANGEMIRROR_QUES_F,,,,,,,,,,,
EVENT_STRANGEMIRROR_QUES_N,,,,,,,,,,,
